city,buurt,title,subtitle,price,rooms,area1,area2,date,link
amsterdam,houthavens,Memeleiland 168 + PP,1014 ZL Amsterdam,800000.0,4,116,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41113950-memeleiland-168-pp/
amsterdam,houthavens,Memeleiland 127,1014 ZL Amsterdam,850000.0,5,138,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41100173-memeleiland-127/
amsterdam,houthavens,Houthavenkade 65,1014 ZB Amsterdam,875000.0,4,143,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87494128-houthavenkade-65/
amsterdam,houthavens,Narva-eiland 127,1014 ZJ Amsterdam,850000.0,4,125,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41084616-narva-eiland-127/
amsterdam,houthavens,Baken van Narva Bouwnummer (Bouwnr. 45),1013 AK Amsterdam,591597.0,5,110,,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-40897973-baken-van-narva-bouwnummer-bouwnr-45/
amsterdam,grachtengordel-west,Prinsengracht 391,1016 HL Amsterdam,900000.0,8,109,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41001360-prinsengracht-391/
amsterdam,grachtengordel-west,Keizersgracht 365 G,1016 EJ Amsterdam,750000.0,4,132,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41035783-keizersgracht-365-g/
amsterdam,houthavens,Maisonette (Bouwnr. 62),1013 AK Amsterdam,732938.0,4,139,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41740820-maisonette-bouwnr-62/
amsterdam,houthavens,Wiborgeiland 126,1014 ZC Amsterdam,795000.0,5,136,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41107280-wiborgeiland-126/
amsterdam,houthavens,Silodam 308,1013 AW Amsterdam,840000.0,5,136,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41106187-silodam-308/
amsterdam,oosterparkbuurt,Iepenweg 44,1091 JM Amsterdam,535000.0,4,87,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41129979-iepenweg-44/
amsterdam,de-kolenkit,Willem Augustinstraat 127,1061 MJ Amsterdam,600000.0,4,129,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41106526-willem-augustinstraat-127/
amsterdam,buitenveldert-oost,Van Heenvlietlaan 315,1083 DD Amsterdam,645000.0,4,123,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41040529-van-heenvlietlaan-315/
amsterdam,oosterparkbuurt,Derde Oosterparkstraat 119 a,1092 CS Amsterdam,675000.0,3,100,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41136369-derde-oosterparkstraat-119-a/
amsterdam,oosterparkbuurt,'s-Gravesandeplein 28,1091 BC Amsterdam,425000.0,2,86,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87314616-s-gravesandeplein-28/
amsterdam,oosterparkbuurt,Tweede Oosterparkstraat 178 D,1092 BT Amsterdam,500000.0,4,89,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41135110-tweede-oosterparkstraat-178-d/
amsterdam,oosterparkbuurt,Tweede Oosterparkstraat 154 -E,1092 BR Amsterdam,625000.0,4,101,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41198551-tweede-oosterparkstraat-154-e/
amsterdam,oosterparkbuurt,Derde Oosterparkstraat 64 -K,1091 KA Amsterdam,650000.0,4,106,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41152347-derde-oosterparkstraat-64-k/
amsterdam,oosterparkbuurt,Tweede Oosterparkstraat 50 E,1091 JE Amsterdam,525000.0,4,90,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87593054-tweede-oosterparkstraat-50-e/
amsterdam,oosterparkbuurt,Tilanusstraat 81 III,1091 BG Amsterdam,675000.0,4,109,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87557883-tilanusstraat-81-iii/
amsterdam,slotermeer-zuidwest,Jan de Louterstraat 14 +PP,1063 KX Amsterdam,475000.0,5,126,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41158106-jan-de-louterstraat-14-pp/
amsterdam,slotermeer-zuidwest,Cornelis van Vollenhovenstraat 6 A + PP,1063 KS Amsterdam,550000.0,4,138,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41133016-cornelis-van-vollenhovenstraat-6-a-pp/
amsterdam,slotermeer-zuidwest,Krijn Breurstraat 31,1064 SX Amsterdam,375000.0,3,95,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41165674-krijn-breurstraat-31/
amsterdam,slotermeer-zuidwest,Leibnizstraat 2,1064 ZD Amsterdam,476000.0,5,138,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87556964-leibnizstraat-2/
amsterdam,slotermeer-zuidwest,Confuciusplein 33,1064 LG Amsterdam,325000.0,4,85,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41021367-confuciusplein-33/
amsterdam,de-kolenkit,Bos en Lommerplein 111 +PP,1055 AD Amsterdam,575000.0,4,127,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41151004-bos-en-lommerplein-111-pp/
amsterdam,de-kolenkit,Bos en Lommerweg 342,1061 DJ Amsterdam,499000.0,3,96,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41190409-bos-en-lommerweg-342/
amsterdam,de-kolenkit,Bos en Lommerweg 356,1061 DJ Amsterdam,575000.0,4,108,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41093206-bos-en-lommerweg-356/
amsterdam,de-kolenkit,Leeuwendalersweg 726,1061 BK Amsterdam,425000.0,3,89,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41064594-leeuwendalersweg-726/
amsterdam,de-kolenkit,Sinjeur Semeynsstraat 90,1061 GM Amsterdam,300000.0,4,87,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87516961-sinjeur-semeynsstraat-90/
amsterdam,de-kolenkit,Leeuwendalersweg 732,1061 BK Amsterdam,457500.0,4,110,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87584915-leeuwendalersweg-732/
amsterdam,de-kolenkit,Amundsenweg 22 -3,1056 AV Amsterdam,599000.0,8,132,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41196230-amundsenweg-22-3/
amsterdam,de-kolenkit,Erasmusgracht 550 + PP,1061 BL Amsterdam,425000.0,3,88,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41103743-erasmusgracht-550-pp/
amsterdam,de-kolenkit,Willem Augustinstraat 141 + PP,1061 MJ Amsterdam,475000.0,3,97,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41195852-willem-augustinstraat-141-pp/
amsterdam,de-kolenkit,Hoofdweg 883,1055 SC Amsterdam,550000.0,3,94,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41190523-hoofdweg-883/
amsterdam,buitenveldert-oost,Weerdestein 200,1083 GN Amsterdam,900000.0,5,167,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87444903-weerdestein-200/
amsterdam,buitenveldert-oost,Rondeel 106,1083 MG Amsterdam,450000.0,4,95,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41015085-rondeel-106/
amsterdam,buitenveldert-oost,Krooswijkhof 75,1082 PB Amsterdam,644900.0,3,128,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41110793-krooswijkhof-75/
